symbol,market,timeIndicator,openPrice,closePrice,highPrice,lowPrice,volume,minTimestamp,maxTimestamp
SRN/BTC,huobipro,2018-12-13 08:26:00 UTC,1.331e-05,1.325e-05,1.331e-05,1.331e-05,0.0085977935000000009,1544689603614,1544689615119
WTC/BTC,huobipro,2018-12-13 08:26:00 UTC,0.00026948,0.00027049,0.00027049,0.00027049,5.3997e-06,1544689570921,1544689590036
EOS/PAX,binance,2018-12-13 08:26:00 UTC,1.9152,1.9152,1.9207,1.9207,204.88715399999998,1544689566328,1544689618905
EKT/BTC,huobipro,2018-12-13 08:26:00 UTC,1.24e-06,1.25e-06,1.25e-06,1.25e-06,0.0109388594,1544689562604,1544689611453
NEO/USDT,huobipro,2018-12-13 08:26:00 UTC,5.86,5.85,5.87,5.87,2191.216003,1544689561044,1544689618173
OMG/BTC,bitfinex2,2018-12-13 08:26:00 UTC,0.00036052,0.00036052,0.00036052,0.00036052,0.026111466704516802,1544689588624,1544689588624
XRP/BTC,binance,2018-12-13 08:26:00 UTC,8.898e-05,8.896e-05,8.9e-05,8.9e-05,1.1474145999999998,1544689568501,1544689619519
BTG/BTC,binance,2018-12-13 08:26:00 UTC,0.003396,0.003396,0.003396,0.003396,0.030564,1544689577770,1544689577770
HB10/USDT,huobipro,2018-12-13 08:26:00 UTC,0.2421,0.2419,0.2421,0.2421,56.687566,1544689569087,1544689617665
ICX/BTC,huobipro,2018-12-13 08:26:00 UTC,6.607e-05,6.625e-05,6.625e-05,6.625e-05,0.005767279581,1544689563889,1544689614203
