symbol,market,timeIndicator,minTimestamp,maxTimestamp
SRN/BTC,huobipro,2018-12-13 08:26:00 UTC,1544689603614,1544689615119
WTC/BTC,huobipro,2018-12-13 08:26:00 UTC,1544689570921,1544689590036
EOS/PAX,binance,2018-12-13 08:26:00 UTC,1544689566328,1544689618905
EKT/BTC,huobipro,2018-12-13 08:26:00 UTC,1544689562604,1544689611453
NEO/USDT,huobipro,2018-12-13 08:26:00 UTC,1544689561044,1544689618173
OMG/BTC,bitfinex2,2018-12-13 08:26:00 UTC,1544689588624,1544689588624
XRP/BTC,binance,2018-12-13 08:26:00 UTC,1544689568501,1544689619519
BTG/BTC,binance,2018-12-13 08:26:00 UTC,1544689577770,1544689577770
HB10/USDT,huobipro,2018-12-13 08:26:00 UTC,1544689569087,1544689617665
ICX/BTC,huobipro,2018-12-13 08:26:00 UTC,1544689563889,1544689614203
